num_trains,k,time,time_solution
5,0,4.1966025829315186,2.630518913269043
5,0,2.8568880558013916,1.2340898513793945
5,0,2.7182133197784424,1.3480079174041748
5,0,2.9566586017608643,1.6205730438232422
5,0,3.6767337322235107,1.6122958660125732
10,0,9.809210300445557,2.2066550254821777
10,0,11.550211429595947,1.3124151229858398
10,0,11.757300853729248,1.8164780139923096
10,0,11.394574880599976,1.7437090873718262
10,0,11.2126145362854,1.8760409355163574
15,0,20.703319787979126,2.648744821548462
15,0,55.22043824195862,3.055830955505371
15,0,17.562488794326782,2.387805938720703
15,0,33.08243131637573,2.7654950618743896
15,0,242.157968044281,2.8971140384674072
20,0,12.35649824142456,4.692199945449829
20,0,8.270086765289307,4.425801992416382
20,0,122.88000917434692,116.78241205215454
20,0,7.15514612197876,4.24704384803772
20,0,7.66371750831604,3.8286898136138916
25,0,600.0,600
25,0,600.0,600
25,0,600.0,600
25,0,600.0,600
25,0,600.0,600
30,0,600.0,600
30,0,600.0,600
30,0,600.0,600
30,0,600.0,600
30,0,600.0,600
